Image URL,Product Name,SKU,Brand,Category,Color,MRP,Selling Price,Stock,Description
https://images.unsplash.com/photo-1586201375761-83865001e31c?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 1kg,GRO-0001,India Gate,Grocery,White,145,132,295,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 1kg (Pack of 2),GRO-0002,India Gate,Grocery,White,290,251,70,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1515543904379-3d757afe72e4?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 1kg (Pack of 3),GRO-0003,India Gate,Grocery,White,435,370,319,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 1kg (Pack of 4),GRO-0004,India Gate,Grocery,White,580,488,334,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1588854337221-4cf9fa96059c?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 1kg (Family Pack of 6),GRO-0005,India Gate,Grocery,White,870,713,218,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1606787366850-de6330128bfc?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 5kg,GRO-0006,India Gate,Grocery,White,625,569,209,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1587049352846-4a222e784d38?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 5kg (Pack of 2),GRO-0007,India Gate,Grocery,White,1250,1081,364,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1506368249639-73a05d6f6488?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 5kg (Pack of 3),GRO-0008,India Gate,Grocery,White,1875,1593,223,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1586201375761-83865001e31c?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 5kg (Pack of 4),GRO-0009,India Gate,Grocery,White,2500,2105,148,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 5kg (Family Pack of 6),GRO-0010,India Gate,Grocery,White,3750,3073,263,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1515543904379-3d757afe72e4?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 10kg,GRO-0011,India Gate,Grocery,White,1185,1075,230,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 10kg (Pack of 2),GRO-0012,India Gate,Grocery,White,2370,2042,201,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1588854337221-4cf9fa96059c?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 10kg (Pack of 3),GRO-0013,India Gate,Grocery,White,3555,3010,109,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1606787366850-de6330128bfc?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 10kg (Pack of 4),GRO-0014,India Gate,Grocery,White,4740,3978,250,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1587049352846-4a222e784d38?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Classic 10kg (Family Pack of 6),GRO-0015,India Gate,Grocery,White,7110,5805,234,Premium aged long grain basmati rice with extra length & aroma.
https://images.unsplash.com/photo-1506368249639-73a05d6f6488?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Feast Rozzana 1kg,GRO-0016,India Gate,Grocery,White,105,95,188,Everyday aromatic basmati rice for daily steamed rice & pulao.
https://images.unsplash.com/photo-1586201375761-83865001e31c?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Feast Rozzana 1kg (Pack of 2),GRO-0017,India Gate,Grocery,White,210,180,357,Everyday aromatic basmati rice for daily steamed rice & pulao.
https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Feast Rozzana 1kg (Pack of 3),GRO-0018,India Gate,Grocery,White,315,266,283,Everyday aromatic basmati rice for daily steamed rice & pulao.
https://images.unsplash.com/photo-1515543904379-3d757afe72e4?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Feast Rozzana 1kg (Pack of 4),GRO-0019,India Gate,Grocery,White,420,352,246,Everyday aromatic basmati rice for daily steamed rice & pulao.
https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Feast Rozzana 1kg (Family Pack of 6),GRO-0020,India Gate,Grocery,White,630,513,255,Everyday aromatic basmati rice for daily steamed rice & pulao.
https://images.unsplash.com/photo-1588854337221-4cf9fa96059c?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Feast Rozzana 5kg,GRO-0021,India Gate,Grocery,White,430,390,376,Everyday aromatic basmati rice for daily steamed rice & pulao.
https://images.unsplash.com/photo-1606787366850-de6330128bfc?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Feast Rozzana 5kg (Pack of 2),GRO-0022,India Gate,Grocery,White,860,741,160,Everyday aromatic basmati rice for daily steamed rice & pulao.
https://images.unsplash.com/photo-1587049352846-4a222e784d38?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Feast Rozzana 5kg (Pack of 3),GRO-0023,India Gate,Grocery,White,1290,1092,110,Everyday aromatic basmati rice for daily steamed rice & pulao.
https://images.unsplash.com/photo-1506368249639-73a05d6f6488?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Feast Rozzana 5kg (Pack of 4),GRO-0024,India Gate,Grocery,White,1720,1443,372,Everyday aromatic basmati rice for daily steamed rice & pulao.
https://images.unsplash.com/photo-1586201375761-83865001e31c?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Feast Rozzana 5kg (Family Pack of 6),GRO-0025,India Gate,Grocery,White,2580,2106,302,Everyday aromatic basmati rice for daily steamed rice & pulao.
https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Super 1kg,GRO-0026,India Gate,Grocery,White,135,122,60,Premium long grain aromatic basmati rice for daily meals.
https://images.unsplash.com/photo-1515543904379-3d757afe72e4?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Super 1kg (Pack of 2),GRO-0027,India Gate,Grocery,White,270,232,97,Premium long grain aromatic basmati rice for daily meals.
https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Super 1kg (Pack of 3),GRO-0028,India Gate,Grocery,White,405,342,347,Premium long grain aromatic basmati rice for daily meals.
https://images.unsplash.com/photo-1588854337221-4cf9fa96059c?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Super 1kg (Pack of 4),GRO-0029,India Gate,Grocery,White,540,451,276,Premium long grain aromatic basmati rice for daily meals.
https://images.unsplash.com/photo-1606787366850-de6330128bfc?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Super 1kg (Family Pack of 6),GRO-0030,India Gate,Grocery,White,810,659,255,Premium long grain aromatic basmati rice for daily meals.
https://images.unsplash.com/photo-1587049352846-4a222e784d38?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Super 5kg,GRO-0031,India Gate,Grocery,White,560,508,373,Premium long grain aromatic basmati rice for daily meals.
https://images.unsplash.com/photo-1506368249639-73a05d6f6488?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Super 5kg (Pack of 2),GRO-0032,India Gate,Grocery,White,1120,965,63,Premium long grain aromatic basmati rice for daily meals.
https://images.unsplash.com/photo-1586201375761-83865001e31c?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Super 5kg (Pack of 3),GRO-0033,India Gate,Grocery,White,1680,1422,98,Premium long grain aromatic basmati rice for daily meals.
https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Super 5kg (Pack of 4),GRO-0034,India Gate,Grocery,White,2240,1880,289,Premium long grain aromatic basmati rice for daily meals.
https://images.unsplash.com/photo-1515543904379-3d757afe72e4?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Super 5kg (Family Pack of 6),GRO-0035,India Gate,Grocery,White,3360,2743,61,Premium long grain aromatic basmati rice for daily meals.
https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=500&auto=format&fit=crop&q=80,India Gate Basmati Rice Super 10kg,GRO-0036,India Gate,Grocery,White,1080,985,368,Premium long grain aromatic basmati rice for daily meals.
